risk_budget,method,seed,n,accepted,risk_breach,fixed_risk_utility,risk_score,success,utility,harmful_transfer_rate,damage_rate,query_cost
0.1,oracle_contact_shift_feature_selector,3,80,1.0,0.0,0.739965,0.035163,0.820593,0.739965,0.024548,0.0315,0.122788
0.1,oracle_contact_shift_feature_selector,4,80,1.0,0.0,0.737511,0.036016,0.819517,0.737511,0.025335,0.032922,0.122734
0.1,oracle_contact_shift_feature_selector,5,80,1.0,0.0,0.739636,0.035385,0.820392,0.739636,0.024733,0.031753,0.12253
0.1,oracle_contact_shift_feature_selector,6,80,1.0,0.0,0.738153,0.035893,0.819834,0.738153,0.02503,0.03283,0.122431
0.1,oracle_contact_shift_feature_selector,7,80,1.0,0.0,0.738016,0.036149,0.820183,0.738016,0.025205,0.033,0.122731
0.1,oracle_contact_shift_feature_selector,8,80,1.0,0.0,0.73868,0.035859,0.820466,0.73868,0.025038,0.032785,0.122942
0.1,oracle_contact_shift_feature_selector,9,80,1.0,0.0,0.737743,0.035896,0.819575,0.737743,0.024787,0.032908,0.122655
0.1,proposed_negative_transfer_guard_v4,0,80,1.0,0.0,0.535784,0.07112,0.687083,0.535784,0.071981,0.056151,0.209368
0.1,proposed_negative_transfer_guard_v4,1,80,0.9875,0.0,0.52966,0.070989,0.68724,0.536193,0.072208,0.055543,0.209554
0.1,proposed_negative_transfer_guard_v4,2,80,1.0,0.0,0.53677,0.070865,0.687637,0.53677,0.071755,0.055672,0.209692
0.1,proposed_negative_transfer_guard_v4,3,80,1.0,0.0,0.535872,0.070865,0.686581,0.535872,0.072447,0.054958,0.20971
0.1,proposed_negative_transfer_guard_v4,4,80,1.0,0.0,0.536525,0.070831,0.687308,0.536525,0.072093,0.055103,0.209631
0.1,proposed_negative_transfer_guard_v4,5,80,0.9875,0.0,0.530042,0.071236,0.688225,0.536649,0.071987,0.056244,0.209628
0.1,proposed_negative_transfer_guard_v4,6,80,1.0,0.0,0.534994,0.071186,0.686555,0.534994,0.072586,0.055921,0.210174
0.1,proposed_negative_transfer_guard_v4,7,80,1.0,0.0,0.534824,0.071175,0.686305,0.534824,0.072082,0.056288,0.209744
0.1,proposed_negative_transfer_guard_v4,8,80,1.0,0.0,0.535872,0.071357,0.687687,0.535872,0.072107,0.056414,0.210113
0.1,proposed_negative_transfer_guard_v4,9,80,0.9875,0.0,0.529469,0.070987,0.687191,0.536116,0.071836,0.055917,0.209407
0.1,scratch_tactile_policy,0,80,0.4875,0.0875,0.092215,0.105051,0.495292,0.320629,0.113734,0.081322,0.097919
0.1,scratch_tactile_policy,1,80,0.4,0.025,0.104054,0.105085,0.495684,0.320973,0.113456,0.081718,0.098052
0.1,scratch_tactile_policy,2,80,0.3,0.0,0.084791,0.105143,0.496822,0.32176,0.113489,0.082164,0.098163
0.1,scratch_tactile_policy,3,80,0.375,0.0,0.112917,0.104944,0.496207,0.321727,0.113425,0.081505,0.098037
0.1,scratch_tactile_policy,4,80,0.4875,0.075,0.100928,0.10487,0.49586,0.321249,0.113016,0.081907,0.098222
0.1,scratch_tactile_policy,5,80,0.4625,0.0625,0.100684,0.104895,0.496073,0.321605,0.113069,0.081747,0.097942
0.1,scratch_tactile_policy,6,80,0.3625,0.025,0.089801,0.105491,0.495424,0.319974,0.114312,0.082076,0.09821
0.1,scratch_tactile_policy,7,80,0.3375,0.0,0.098685,0.104807,0.496076,0.321772,0.113307,0.081173,0.097943
0.1,scratch_tactile_policy,8,80,0.4375,0.0375,0.109404,0.105259,0.495966,0.320851,0.113316,0.082111,0.097993
0.1,scratch_tactile_policy,9,80,0.4875,0.075,0.101376,0.104662,0.496206,0.322224,0.112705,0.081139,0.097909
0.1,sensor_health_filter,0,80,0.9875,0.025,0.416287,0.076747,0.598989,0.438948,0.080636,0.060479,0.207285
0.1,sensor_health_filter,1,80,0.9125,0.0,0.40029,0.077133,0.599097,0.438625,0.081745,0.060597,0.206911
0.1,sensor_health_filter,2,80,0.9,0.0,0.394271,0.077673,0.598757,0.437504,0.08233,0.060901,0.20716
0.1,sensor_health_filter,3,80,0.9875,0.025,0.414279,0.077251,0.597666,0.437015,0.081789,0.060501,0.207387
0.1,sensor_health_filter,4,80,0.9875,0.05,0.397093,0.077556,0.598461,0.437223,0.0818,0.061579,0.207017
0.1,sensor_health_filter,5,80,0.8875,0.0,0.389002,0.077237,0.598751,0.437994,0.081499,0.060847,0.2074
0.1,sensor_health_filter,6,80,0.9375,0.0,0.411039,0.077181,0.598265,0.437697,0.081512,0.060768,0.207061
0.1,sensor_health_filter,7,80,0.9875,0.0125,0.424476,0.077373,0.599051,0.438174,0.081542,0.061054,0.207012
0.1,sensor_health_filter,8,80,0.9,0.0,0.39456,0.07722,0.598518,0.437778,0.081426,0.061134,0.207183
0.1,sensor_health_filter,9,80,0.8875,0.0,0.388655,0.077584,0.598964,0.437574,0.081811,0.061757,0.206889
0.1,test_time_tactile_adaptation,0,80,0.85,0.15,0.292582,0.091814,0.642758,0.465896,0.097233,0.071578,0.192559
0.1,test_time_tactile_adaptation,1,80,0.725,0.0,0.336895,0.091347,0.642036,0.465681,0.096531,0.071368,0.193129
0.1,test_time_tactile_adaptation,2,80,0.5375,0.0,0.243716,0.091399,0.641941,0.465631,0.096239,0.071679,0.192632
0.1,test_time_tactile_adaptation,3,80,0.7375,0.0625,0.299972,0.091337,0.643465,0.467154,0.096463,0.071327,0.192948
0.1,test_time_tactile_adaptation,4,80,0.8375,0.1,0.321455,0.091253,0.64207,0.465906,0.096313,0.071052,0.192888
0.1,test_time_tactile_adaptation,5,80,0.7,0.0125,0.315302,0.091857,0.642202,0.464994,0.097045,0.072072,0.19311
0.1,test_time_tactile_adaptation,6,80,0.5375,0.0,0.244272,0.091731,0.642709,0.465632,0.09666,0.072138,0.193263
0.1,test_time_tactile_adaptation,7,80,0.725,0.0375,0.309858,0.091407,0.641689,0.465145,0.096403,0.071654,0.193065
0.1,test_time_tactile_adaptation,8,80,0.8,0.1,0.303428,0.091566,0.642968,0.466316,0.097176,0.071393,0.192883
0.1,test_time_tactile_adaptation,9,80,0.6625,0.0125,0.297635,0.091287,0.642283,0.466105,0.096233,0.071479,0.192924
0.1,uncertainty_gated_transfer,0,80,0.8125,0.1,0.251847,0.091315,0.585964,0.39457,0.100284,0.069863,0.256511
0.1,uncertainty_gated_transfer,1,80,0.6625,0.0,0.260554,0.091424,0.58614,0.39456,0.10054,0.069826,0.256839
0.1,uncertainty_gated_transfer,2,80,0.525,0.0,0.202369,0.091086,0.585874,0.39484,0.10013,0.069574,0.256763
0.1,uncertainty_gated_transfer,3,80,0.675,0.0125,0.257099,0.091657,0.586309,0.394351,0.100926,0.070202,0.256366
0.1,uncertainty_gated_transfer,4,80,0.7875,0.125,0.225025,0.091727,0.586316,0.394388,0.101472,0.069885,0.256059
0.1,uncertainty_gated_transfer,5,80,0.675,0.0,0.264486,0.091531,0.585268,0.393459,0.100894,0.069889,0.256396
0.1,uncertainty_gated_transfer,6,80,0.5375,0.0,0.208437,0.091108,0.586809,0.395666,0.099974,0.069728,0.256671
0.1,uncertainty_gated_transfer,7,80,0.75,0.0875,0.234716,0.091445,0.585481,0.393902,0.100538,0.069902,0.256527
0.1,uncertainty_gated_transfer,8,80,0.775,0.125,0.217934,0.091506,0.583765,0.392123,0.100954,0.069549,0.256666
0.1,uncertainty_gated_transfer,9,80,0.65,0.0375,0.2281,0.091647,0.584648,0.392588,0.101136,0.069875,0.256973
0.12,action_critical_tactile_transfer_guard_v5,0,80,1.0,0.0,0.616848,0.050141,0.732794,0.616848,0.043483,0.041982,0.185004
0.12,action_critical_tactile_transfer_guard_v5,1,80,1.0,0.0,0.618527,0.049553,0.733604,0.618527,0.042658,0.04157,0.185173
0.12,action_critical_tactile_transfer_guard_v5,2,80,1.0,0.0,0.618415,0.049484,0.73351,0.618415,0.042054,0.041664,0.185618
0.12,action_critical_tactile_transfer_guard_v5,3,80,1.0,0.0,0.617956,0.049718,0.733208,0.617956,0.042816,0.041314,0.185236
0.12,action_critical_tactile_transfer_guard_v5,4,80,1.0,0.0,0.618949,0.049934,0.734659,0.618949,0.043214,0.041973,0.18505
0.12,action_critical_tactile_transfer_guard_v5,5,80,1.0,0.0,0.61864,0.049947,0.734103,0.61864,0.043916,0.041339,0.184683
0.12,action_critical_tactile_transfer_guard_v5,6,80,1.0,0.0,0.618346,0.049682,0.733461,0.618346,0.04349,0.041097,0.185079
0.12,action_critical_tactile_transfer_guard_v5,7,80,1.0,0.0,0.61772,0.049743,0.733037,0.61772,0.042773,0.041889,0.184695
0.12,action_critical_tactile_transfer_guard_v5,8,80,1.0,0.0,0.618278,0.049525,0.733326,0.618278,0.042136,0.041577,0.185239
0.12,action_critical_tactile_transfer_guard_v5,9,80,1.0,0.0,0.618037,0.04989,0.733423,0.618037,0.043175,0.041544,0.185011
0.12,conformal_tactile_risk_control,0,80,1.0,0.0,0.428155,0.07286,0.598252,0.428155,0.081388,0.053006,0.279788
0.12,conformal_tactile_risk_control,1,80,1.0,0.0,0.426762,0.07291,0.596815,0.426762,0.081954,0.052639,0.279461
0.12,conformal_tactile_risk_control,2,80,1.0,0.0,0.427572,0.073116,0.597884,0.427572,0.081933,0.052992,0.279037
0.12,conformal_tactile_risk_control,3,80,1.0,0.0,0.427262,0.073038,0.597347,0.427262,0.082422,0.052214,0.279617
0.12,conformal_tactile_risk_control,4,80,1.0,0.0,0.426491,0.07335,0.597132,0.426491,0.08304,0.052555,0.279691
0.12,conformal_tactile_risk_control,5,80,1.0,0.0,0.426471,0.073275,0.59699,0.426471,0.082862,0.052442,0.279665
0.12,conformal_tactile_risk_control,6,80,1.0,0.0,0.426056,0.0734,0.596516,0.426056,0.083233,0.05226,0.278882
0.12,conformal_tactile_risk_control,7,80,1.0,0.0,0.426679,0.073516,0.597641,0.426679,0.082821,0.053099,0.279543
0.12,conformal_tactile_risk_control,8,80,1.0,0.0,0.427296,0.073425,0.598152,0.427296,0.082922,0.052923,0.279579
0.12,conformal_tactile_risk_control,9,80,1.0,0.0,0.427262,0.072979,0.5973,0.427262,0.081721,0.052485,0.279432
0.12,contrastive_tactile_pretraining,0,80,0.875,0.0875,0.357014,0.106335,0.655397,0.473347,0.118999,0.081116,0.122685
0.12,contrastive_tactile_pretraining,1,80,0.75,0.0,0.357735,0.106603,0.654872,0.47225,0.119595,0.081594,0.122804
0.12,contrastive_tactile_pretraining,2,80,0.625,0.0,0.296897,0.106859,0.654757,0.471853,0.119555,0.081861,0.12206
0.12,contrastive_tactile_pretraining,3,80,0.7875,0.0375,0.35006,0.106586,0.654593,0.47208,0.119328,0.081625,0.12252
0.12,contrastive_tactile_pretraining,4,80,0.85,0.075,0.353469,0.10671,0.655015,0.472533,0.119867,0.081158,0.12213
0.12,contrastive_tactile_pretraining,5,80,0.7375,0.0,0.351508,0.10664,0.654594,0.472099,0.119458,0.08177,0.122363
0.12,contrastive_tactile_pretraining,6,80,0.6375,0.0,0.303013,0.106563,0.654729,0.472142,0.119346,0.081644,0.122702
0.12,contrastive_tactile_pretraining,7,80,0.825,0.0625,0.350062,0.106324,0.654012,0.471921,0.11925,0.080978,0.122572
0.12,contrastive_tactile_pretraining,8,80,0.8125,0.0625,0.343295,0.107032,0.654199,0.470949,0.119877,0.082186,0.122438
0.12,contrastive_tactile_pretraining,9,80,0.7,0.0,0.333168,0.106685,0.654417,0.471807,0.119364,0.081658,0.122397
0.12,domain_adversarial_tactile_transfer,0,80,0.875,0.025,0.371274,0.101682,0.622203,0.44062,0.110964,0.078097,0.150558
0.12,domain_adversarial_tactile_transfer,1,80,0.825,0.0,0.36513,0.102191,0.621155,0.438977,0.111601,0.078663,0.150415
0.12,domain_adversarial_tactile_transfer,2,80,0.75,0.0,0.331187,0.102571,0.621501,0.438745,0.112111,0.078917,0.150295
0.12,domain_adversarial_tactile_transfer,3,80,0.875,0.0,0.38749,0.102049,0.620862,0.439027,0.111757,0.07796,0.15033
0.12,domain_adversarial_tactile_transfer,4,80,0.875,0.025,0.370138,0.102045,0.621603,0.439553,0.111447,0.078346,0.15067
0.12,domain_adversarial_tactile_transfer,5,80,0.8,0.0,0.355692,0.101818,0.622289,0.440658,0.110767,0.0784,0.150393
0.12,domain_adversarial_tactile_transfer,6,80,0.775,0.0,0.343889,0.101857,0.621838,0.440141,0.111459,0.077913,0.150501
0.12,domain_adversarial_tactile_transfer,7,80,0.875,0.0125,0.379618,0.101847,0.621894,0.439988,0.110851,0.078449,0.150914
0.12,domain_adversarial_tactile_transfer,8,80,0.875,0.0125,0.380735,0.101636,0.622502,0.441212,0.11055,0.077965,0.149966
0.12,domain_adversarial_tactile_transfer,9,80,0.7625,0.0,0.339534,0.101961,0.623346,0.441559,0.111117,0.078292,0.15047
0.12,ensemble_disagreement_filter,0,80,1.0,0.0,0.431367,0.084841,0.608773,0.431367,0.091889,0.065095,0.235677
0.12,ensemble_disagreement_filter,1,80,0.9875,0.0,0.426596,0.08491,0.609132,0.431599,0.092446,0.065007,0.235778
0.12,ensemble_disagreement_filter,2,80,0.9875,0.0,0.424275,0.085308,0.607803,0.4294,0.092212,0.065979,0.235916
0.12,ensemble_disagreement_filter,3,80,1.0,0.0,0.429057,0.085269,0.607084,0.429057,0.092379,0.065659,0.235535
0.12,ensemble_disagreement_filter,4,80,1.0,0.0125,0.422029,0.084499,0.607669,0.430779,0.091141,0.065042,0.235999
0.12,ensemble_disagreement_filter,5,80,0.9875,0.0,0.426118,0.084908,0.60875,0.431171,0.09222,0.06507,0.236039
0.12,ensemble_disagreement_filter,6,80,1.0,0.0,0.429782,0.085115,0.60789,0.429782,0.091807,0.066107,0.235977
0.12,ensemble_disagreement_filter,7,80,1.0,0.0125,0.422456,0.085122,0.609022,0.431206,0.092445,0.065506,0.235694
0.12,ensemble_disagreement_filter,8,80,0.9875,0.0,0.426341,0.085174,0.609414,0.431358,0.092478,0.065538,0.235884
0.12,ensemble_disagreement_filter,9,80,0.975,0.0,0.420221,0.085395,0.608599,0.430285,0.092781,0.065771,0.235885
0.12,frozen_tactile_pretraining,0,80,0.5,0.05,0.181798,0.123021,0.61781,0.423845,0.142226,0.093485,0.066703
0.12,frozen_tactile_pretraining,1,80,0.4875,0.0375,0.184065,0.123346,0.618503,0.423989,0.142018,0.09459,0.066305
0.12,frozen_tactile_pretraining,2,80,0.35,0.0,0.146145,0.122887,0.617882,0.424027,0.141737,0.093772,0.066711
0.12,frozen_tactile_pretraining,3,80,0.3875,0.0,0.164094,0.123024,0.618118,0.424104,0.141543,0.094134,0.066618
0.12,frozen_tactile_pretraining,4,80,0.5,0.0375,0.189874,0.123125,0.61701,0.422715,0.141989,0.094188,0.066773
0.12,frozen_tactile_pretraining,5,80,0.5,0.0625,0.171385,0.123252,0.61568,0.421138,0.141979,0.094255,0.066774
0.12,frozen_tactile_pretraining,6,80,0.4,0.0,0.169783,0.12299,0.617129,0.423035,0.141636,0.093966,0.066738
0.12,frozen_tactile_pretraining,7,80,0.4,0.0,0.17017,0.122992,0.61754,0.423553,0.141598,0.094061,0.066356
0.12,frozen_tactile_pretraining,8,80,0.4625,0.0375,0.171816,0.123017,0.616586,0.422567,0.141257,0.094243,0.066459
0.12,frozen_tactile_pretraining,9,80,0.4875,0.025,0.193559,0.122992,0.618548,0.424312,0.14115,0.094586,0.066851
0.12,full_finetune_pretraining,0,80,0.775,0.1125,0.27535,0.110771,0.637969,0.450031,0.123908,0.084939,0.120317
0.12,full_finetune_pretraining,1,80,0.65,0.0,0.295068,0.111164,0.637188,0.448544,0.124563,0.085225,0.120868
0.12,full_finetune_pretraining,2,80,0.525,0.0,0.236759,0.110963,0.63867,0.450238,0.124114,0.085231,0.12106
0.12,full_finetune_pretraining,3,80,0.6625,0.025,0.284156,0.110833,0.638656,0.450354,0.124098,0.084966,0.120886
0.12,full_finetune_pretraining,4,80,0.7375,0.0875,0.274106,0.111233,0.637561,0.448719,0.124409,0.085474,0.120811
0.12,full_finetune_pretraining,5,80,0.625,0.0125,0.274416,0.11163,0.638025,0.44859,0.12531,0.085689,0.120819
0.12,full_finetune_pretraining,6,80,0.5375,0.0,0.241595,0.111458,0.637424,0.448313,0.124905,0.085456,0.12064
0.12,full_finetune_pretraining,7,80,0.6375,0.05,0.253771,0.111322,0.637705,0.448788,0.12489,0.085404,0.120791
0.12,full_finetune_pretraining,8,80,0.75,0.125,0.254863,0.111233,0.638136,0.449336,0.124478,0.085464,0.120456
0.12,full_finetune_pretraining,9,80,0.6375,0.0125,0.281129,0.110808,0.638312,0.45027,0.12421,0.08475,0.120473
0.12,invariant_risk_tactile_alignment,0,80,0.975,0.075,0.380833,0.095224,0.617859,0.443464,0.104136,0.071852,0.161271
0.12,invariant_risk_tactile_alignment,1,80,0.8875,0.0,0.396031,0.095446,0.618098,0.443414,0.104374,0.072094,0.161086
0.12,invariant_risk_tactile_alignment,2,80,0.875,0.0,0.391277,0.095552,0.618871,0.443939,0.10482,0.072,0.161344
0.12,invariant_risk_tactile_alignment,3,80,0.9625,0.075,0.376155,0.095203,0.618467,0.444104,0.10382,0.071976,0.160961
0.12,invariant_risk_tactile_alignment,4,80,0.925,0.025,0.394132,0.095433,0.617596,0.442897,0.104481,0.071835,0.161081
0.12,invariant_risk_tactile_alignment,5,80,0.875,0.0,0.391872,0.095343,0.619188,0.444644,0.104091,0.071888,0.161069
0.12,invariant_risk_tactile_alignment,6,80,0.8875,0.0,0.395841,0.09567,0.618588,0.44351,0.104488,0.072378,0.161112
0.12,invariant_risk_tactile_alignment,7,80,0.9625,0.0625,0.386168,0.095458,0.620034,0.445199,0.104342,0.071953,0.161785
0.12,invariant_risk_tactile_alignment,8,80,0.8875,0.0,0.396783,0.094959,0.618816,0.444828,0.103097,0.071745,0.161484
0.12,invariant_risk_tactile_alignment,9,80,0.875,0.0,0.392516,0.095452,0.620251,0.445401,0.104185,0.072244,0.161265
0.12,masked_autoencoder_tactile_pretraining,0,80,0.8125,0.075,0.327861,0.10834,0.646148,0.46211,0.121717,0.082696,0.118567
0.12,masked_autoencoder_tactile_pretraining,1,80,0.725,0.0125,0.331384,0.108268,0.646983,0.463027,0.121217,0.082697,0.118586
0.12,masked_autoencoder_tactile_pretraining,2,80,0.5625,0.0,0.260391,0.108455,0.646588,0.462091,0.121136,0.083577,0.118763
0.12,masked_autoencoder_tactile_pretraining,3,80,0.775,0.0375,0.337303,0.107587,0.647066,0.4641,0.120237,0.082046,0.118372
0.12,masked_autoencoder_tactile_pretraining,4,80,0.7875,0.05,0.33358,0.108169,0.646381,0.462457,0.12076,0.083187,0.118784
0.12,masked_autoencoder_tactile_pretraining,5,80,0.6875,0.0,0.321842,0.107848,0.647304,0.463852,0.120003,0.083005,0.118645
0.12,masked_autoencoder_tactile_pretraining,6,80,0.5875,0.0,0.27335,0.108334,0.646558,0.462437,0.121586,0.082753,0.118468
0.12,masked_autoencoder_tactile_pretraining,7,80,0.7625,0.05,0.321754,0.10822,0.646879,0.462813,0.120883,0.083153,0.118639
0.12,masked_autoencoder_tactile_pretraining,8,80,0.7875,0.075,0.315025,0.108519,0.645972,0.461399,0.121526,0.083208,0.118745
0.12,masked_autoencoder_tactile_pretraining,9,80,0.7,0.0125,0.319278,0.107603,0.646071,0.4632,0.1205,0.082082,0.11815
0.12,no_tactile_policy,0,80,0.725,0.125,0.104163,0.113072,0.430345,0.257185,0.121179,0.089479,0.037252
0.12,no_tactile_policy,1,80,0.625,0.0,0.165572,0.113101,0.43166,0.258296,0.121682,0.089094,0.037715
0.12,no_tactile_policy,2,80,0.525,0.0,0.136452,0.113269,0.430728,0.257137,0.121403,0.089893,0.037402
0.12,no_tactile_policy,3,80,0.5875,0.0,0.15455,0.112701,0.430516,0.25799,0.121144,0.088548,0.037439
0.12,no_tactile_policy,4,80,0.7375,0.125,0.108698,0.112725,0.431373,0.25868,0.121341,0.088572,0.037455
0.12,no_tactile_policy,5,80,0.5875,0.0125,0.145682,0.112992,0.43111,0.25799,0.120707,0.089617,0.037323
0.12,no_tactile_policy,6,80,0.525,0.0,0.137124,0.112826,0.431402,0.258579,0.121384,0.088811,0.037531
0.12,no_tactile_policy,7,80,0.6,0.0375,0.130267,0.112896,0.430092,0.25695,0.121076,0.089131,0.037598
0.12,no_tactile_policy,8,80,0.7,0.125,0.097045,0.113257,0.43068,0.257072,0.12113,0.090051,0.037235
0.12,no_tactile_policy,9,80,0.5875,0.0125,0.145505,0.112998,0.430843,0.257772,0.121351,0.089332,0.037241
0.12,oracle_contact_shift_feature_selector,0,80,1.0,0.0,0.738507,0.035812,0.820125,0.738507,0.025024,0.032657,0.122513
0.12,oracle_contact_shift_feature_selector,1,80,1.0,0.0,0.738321,0.035587,0.819731,0.738321,0.024697,0.032557,0.122794
0.12,oracle_contact_shift_feature_selector,2,80,1.0,0.0,0.738756,0.036101,0.820858,0.738756,0.025527,0.032904,0.122748
0.12,oracle_contact_shift_feature_selector,3,80,1.0,0.0,0.739965,0.035163,0.820593,0.739965,0.024548,0.0315,0.122788
0.12,oracle_contact_shift_feature_selector,4,80,1.0,0.0,0.737511,0.036016,0.819517,0.737511,0.025335,0.032922,0.122734
0.12,oracle_contact_shift_feature_selector,5,80,1.0,0.0,0.739636,0.035385,0.820392,0.739636,0.024733,0.031753,0.12253
0.12,oracle_contact_shift_feature_selector,6,80,1.0,0.0,0.738153,0.035893,0.819834,0.738153,0.02503,0.03283,0.122431
0.12,oracle_contact_shift_feature_selector,7,80,1.0,0.0,0.738016,0.036149,0.820183,0.738016,0.025205,0.033,0.122731
0.12,oracle_contact_shift_feature_selector,8,80,1.0,0.0,0.73868,0.035859,0.820466,0.73868,0.025038,0.032785,0.122942
0.12,oracle_contact_shift_feature_selector,9,80,1.0,0.0,0.737743,0.035896,0.819575,0.737743,0.024787,0.032908,0.122655
0.12,proposed_negative_transfer_guard_v4,0,80,1.0,0.0,0.535784,0.07112,0.687083,0.535784,0.071981,0.056151,0.209368
0.12,proposed_negative_transfer_guard_v4,1,80,1.0,0.0,0.536193,0.070989,0.68724,0.536193,0.072208,0.055543,0.209554
0.12,proposed_negative_transfer_guard_v4,2,80,1.0,0.0,0.53677,0.070865,0.687637,0.53677,0.071755,0.055672,0.209692
0.12,proposed_negative_transfer_guard_v4,3,80,1.0,0.0,0.535872,0.070865,0.686581,0.535872,0.072447,0.054958,0.20971
0.12,proposed_negative_transfer_guard_v4,4,80,1.0,0.0,0.536525,0.070831,0.687308,0.536525,0.072093,0.055103,0.209631
0.12,proposed_negative_transfer_guard_v4,5,80,1.0,0.0,0.536649,0.071236,0.688225,0.536649,0.071987,0.056244,0.209628
0.12,proposed_negative_transfer_guard_v4,6,80,1.0,0.0,0.534994,0.071186,0.686555,0.534994,0.072586,0.055921,0.210174
0.12,proposed_negative_transfer_guard_v4,7,80,1.0,0.0,0.534824,0.071175,0.686305,0.534824,0.072082,0.056288,0.209744
0.12,proposed_negative_transfer_guard_v4,8,80,1.0,0.0,0.535872,0.071357,0.687687,0.535872,0.072107,0.056414,0.210113
0.12,proposed_negative_transfer_guard_v4,9,80,1.0,0.0,0.536116,0.070987,0.687191,0.536116,0.071836,0.055917,0.209407
0.12,scratch_tactile_policy,0,80,0.875,0.0875,0.223136,0.105051,0.495292,0.320629,0.113734,0.081322,0.097919
0.12,scratch_tactile_policy,1,80,0.775,0.0,0.251565,0.105085,0.495684,0.320973,0.113456,0.081718,0.098052
0.12,scratch_tactile_policy,2,80,0.65,0.0,0.210806,0.105143,0.496822,0.32176,0.113489,0.082164,0.098163
0.12,scratch_tactile_policy,3,80,0.8375,0.0625,0.229106,0.104944,0.496207,0.321727,0.113425,0.081505,0.098037
0.12,scratch_tactile_policy,4,80,0.8625,0.075,0.228174,0.10487,0.49586,0.321249,0.113016,0.081907,0.098222
0.12,scratch_tactile_policy,5,80,0.7375,0.0,0.239443,0.104895,0.496073,0.321605,0.113069,0.081747,0.097942
0.12,scratch_tactile_policy,6,80,0.675,0.0,0.218199,0.105491,0.495424,0.319974,0.114312,0.082076,0.09821
0.12,scratch_tactile_policy,7,80,0.8375,0.05,0.237884,0.104807,0.496076,0.321772,0.113307,0.081173,0.097943
0.12,scratch_tactile_policy,8,80,0.8125,0.025,0.246738,0.105259,0.495966,0.320851,0.113316,0.082111,0.097993
0.12,scratch_tactile_policy,9,80,0.7375,0.0,0.240536,0.104662,0.496206,0.322224,0.112705,0.081139,0.097909
0.12,sensor_health_filter,0,80,1.0,0.0,0.438948,0.076747,0.598989,0.438948,0.080636,0.060479,0.207285
0.12,sensor_health_filter,1,80,1.0,0.0,0.438625,0.077133,0.599097,0.438625,0.081745,0.060597,0.206911
0.12,sensor_health_filter,2,80,1.0,0.0,0.437504,0.077673,0.598757,0.437504,0.08233,0.060901,0.20716
0.12,sensor_health_filter,3,80,1.0,0.0,0.437015,0.077251,0.597666,0.437015,0.081789,0.060501,0.207387
0.12,sensor_health_filter,4,80,1.0,0.0,0.437223,0.077556,0.598461,0.437223,0.0818,0.061579,0.207017
0.12,sensor_health_filter,5,80,1.0,0.0,0.437994,0.077237,0.598751,0.437994,0.081499,0.060847,0.2074
0.12,sensor_health_filter,6,80,1.0,0.0,0.437697,0.077181,0.598265,0.437697,0.081512,0.060768,0.207061
0.12,sensor_health_filter,7,80,1.0,0.0,0.438174,0.077373,0.599051,0.438174,0.081542,0.061054,0.207012
0.12,sensor_health_filter,8,80,1.0,0.0,0.437778,0.07722,0.598518,0.437778,0.081426,0.061134,0.207183
0.12,sensor_health_filter,9,80,1.0,0.0,0.437574,0.077584,0.598964,0.437574,0.081811,0.061757,0.206889
0.12,test_time_tactile_adaptation,0,80,0.9875,0.0375,0.434323,0.091814,0.642758,0.465896,0.097233,0.071578,0.192559
0.12,test_time_tactile_adaptation,1,80,0.9375,0.0,0.438112,0.091347,0.642036,0.465681,0.096531,0.071368,0.193129
0.12,test_time_tactile_adaptation,2,80,0.9125,0.0,0.426234,0.091399,0.641941,0.465631,0.096239,0.071679,0.192632
0.12,test_time_tactile_adaptation,3,80,0.975,0.0125,0.447626,0.091337,0.643465,0.467154,0.096463,0.071327,0.192948
0.12,test_time_tactile_adaptation,4,80,0.9875,0.0,0.460513,0.091253,0.64207,0.465906,0.096313,0.071052,0.192888
0.12,test_time_tactile_adaptation,5,80,0.9125,0.0,0.425744,0.091857,0.642202,0.464994,0.097045,0.072072,0.19311
0.12,test_time_tactile_adaptation,6,80,0.9625,0.0,0.449102,0.091731,0.642709,0.465632,0.09666,0.072138,0.193263
0.12,test_time_tactile_adaptation,7,80,1.0,0.025,0.447645,0.091407,0.641689,0.465145,0.096403,0.071654,0.193065
0.12,test_time_tactile_adaptation,8,80,0.925,0.0,0.432821,0.091566,0.642968,0.466316,0.097176,0.071393,0.192883
0.12,test_time_tactile_adaptation,9,80,0.9375,0.0,0.438191,0.091287,0.642283,0.466105,0.096233,0.071479,0.192924
0.12,uncertainty_gated_transfer,0,80,1.0,0.05,0.35957,0.091315,0.585964,0.39457,0.100284,0.069863,0.256511
0.12,uncertainty_gated_transfer,1,80,0.9,0.0,0.35742,0.091424,0.58614,0.39456,0.10054,0.069826,0.256839
0.12,uncertainty_gated_transfer,2,80,0.8875,0.0,0.352771,0.091086,0.585874,0.39484,0.10013,0.069574,0.256763
0.12,uncertainty_gated_transfer,3,80,0.9875,0.0375,0.36362,0.091657,0.586309,0.394351,0.100926,0.070202,0.256366
0.12,uncertainty_gated_transfer,4,80,0.9875,0.05,0.354821,0.091727,0.586316,0.394388,0.101472,0.069885,0.256059
0.12,uncertainty_gated_transfer,5,80,0.8875,0.0,0.351191,0.091531,0.585268,0.393459,0.100894,0.069889,0.256396
0.12,uncertainty_gated_transfer,6,80,0.9625,0.0125,0.373095,0.091108,0.586809,0.395666,0.099974,0.069728,0.256671
